file_name,file_type,file_size,text_length,num_pages,source_system,extracted_text,document_type
InternalControl_Security_2021.html,html,10,5409,5,intranet_cms,"Company control standard. Applies to employees, contractors, systems, records, and third-party services. Includes review frequency, owner, effective date, and change history.",policy_document
client_MekongRetail_273693_review.docx,docx,981,5322,7,google_drive,"Document between NovaTech and LotusAnalytics. It defines service scope, responsibilities, milestones, fees, renewal process, confidentiality, data handling, liability limits, termination, and dispute handling.",contract
Legal_GreenfieldMFG_final_202305.docx,docx,1006,21254,16,email_attachment,"Vendor onboarding document. Contains commercial terms, service levels, approval workflow, contact points, and conditions for cancellation or extension. Several clauses refer to appendices and supporting schedules.",contract
DataAnalyst_TranBaoNgoc_profile.docx,docx,85,1282,2,sharepoint,"Applicant document. Experience includes data cleaning, dashboard preparation, API integration, documentation, stakeholder communication, and team collaboration. Skills include Python, SQL, Excel, Git, and reporting tools.",resume
ICML_2024_submission_577624.pdf,pdf,932,6361,4,google_drive,"Prepared for internal review. The attached information summarizes key records, responsible owners, dates, comments, and follow-up actions. Some tab ... [extraction truncated]",research_paper
CRMUpgrade_review_pack_v1.pdf,pdf,18455,15356,50,ocr_scanner,"Prepared for internal review. The attached information summarizes key records, responsible owners, dates, comments, and follow-up actions. Some tables may require manual validation before being loaded into the data platform.",financial_statement
VoNgocMai_ProductAnalyst_2022_application.docx,docx,387,1406,2,sharepoint,"NguyenVanAn. Candidate profile for QAEngineer. Contact information, summary, work history, education, technical skills, projects, certifications, and references are listed.",resume
OrchidHealth_business_update_Q1_2023.docx,docx,1124,17538,17,email_attachment,"Business review pack. Contains charts, operational notes, customer segment analysis, revenue movement, issue summary, recommendations, and follow-up actions for leadership review.",report
NguyenVanAn_FrontendDeveloper_CV.pdf,pdf,956,4766,4,sharepoint,"Recruiting attachment from HR workflow. Contains employment history, academic background, project descriptions, achievements, tools used, expected role, and availability information.",resume
AsterFoods_business_update_Q1_2023_746.xlsx,xlsx,485,5042,9,api_ingestion,"[OCR low confidence] Bsness revw pack. Contains charts, pertonal notes, customer segment analysis, revenue movement, issue summary, recommendations, and follow-up actions for leadership review.",report
SalesDashboard_review_pack_v2.docx,docx,446,1022,2,streamlit_upload,"Internal guideline for incident response. Defines purpose, scope, responsibilities, approval steps, exceptions, audit evidence, and review cycle.",policy_document
Le_DocumentAI_draft_v6.docx,docx,384,9553,6,api_ingestion,"Research note prepared for submission. It compares several methods using accuracy, macro F1, retrieval quality, latency, and robustness under noisy extraction conditions.",research_paper
client_RiverstoneLabs_285443_approved.jpg,jpg,1812,709,3,streamlit_upload,Please review the attached document and confirm whether the extracted information matches the original source. Several fields may be incomplete because the file was converted from a scanned copy.,invoice
upload_202311_65764.docx,docx,262,1634,2,sharepoint,"DoanAnhKhoa. Candidate profile for Accountant. Contact information, summary, work history, education, technical skills, projects, certifications, and references are listed.",resume
WarehouseOps_Q1_2024_review.pdf,pdf,2575,16018,12,sharepoint,"Prepared for internal review. The attached information summarizes key records, responsible owners, dates, comments, and follow-up actions. Some tables may require manual validation before being loaded into the data platform.",report
AP_RiverstoneLabs_SAP_2021_11.pdf,pdf,117,220,1,email_attachment,"Billing document received for processing. The first page contains recipient information, reference number, service period, payment instructions, and bank details. Some line items were extracted from a scanned table.",invoice
OCRPostCorrection_technical_note_2024.docx,docx,1455,10386,10,sharepoint,"Technical manuscript about Forecasting. The document describes motivation, related work, dataset construction, method design, experiments, results, limitations, and future work.",research_paper
LotusAnalytics_PacificDigital_MSA_2022_final.docx,docx,956,22630,19,sharepoint,"Vendor onboarding document. Contains commercial terms, service levels, approval workflow, contact points, and conditions for cancellation or extension. Several clauses refer to appendices and supporting schedules.",contract
Finance_LotusAnalytics_consolidated_2026.txt,txt,6,8119,15,finance_portal,"EastBridge finance close package. Revenue 6,964,447.46, operating expenses 2,418,691.10, assets, liabilities, cash movement, receivables, payables, and equity balances are included with n ... [extraction truncated]",financial_statement
upload_202504_155515.pdf,pdf,2296,21362,18,email_attachment,"[OCR low confidence] Rserch not prepard for submssion. It compares several methods using accuracy, macro F1, retrieval quality, latency, and robustness under noisy extraction conditions.",research_paper
client_BrightlineGroup_294596_review.pdf,pdf,243,1287,3,vendor_portal,"Billing document received for processing. The first page contains recipient information, reference number, service period, payment instructions, and bank details. Some line items were extracted from a scanned table.",invoice
client_VertexCapital_30868_final.pdf,pdf,1175,11089,6,google_drive,"Study draft. Sections include introduction, problem setting, baseline models, evaluation protocol, ablation analysis, error cases, discussion, references, and appendix tables.",research_paper
Finance_InternalAudit_202405.docx,docx,972,11886,15,ocr_scanner,Please review the attached document and confirm whether the extracted information matches the original source. Several fields may be incomplete because the file was converted from a scanned copy.,report
Research_attachment_2021_452933.pdf,pdf,1034,3338,5,preprint_server,"Technical manuscript about SpeechRecognition. The document describes motivation, related work, dataset construction, method design, experiments, results, limitations, and future work.",research_paper
upload_202112_30927.csv,csv,35,17020,23,streamlit_upload,"LotusAnalytics finance close package. Revenue 4,655,078.75, operating expenses 3,721,423.14, assets, liabilities, cash movement, receivables, payables, and  ... [extraction truncated]",financial_statement
GreenfieldMFG_DataNest_MSA_2021_draft.pdf,pdf,1905,3740,10,legal_dms,"Document between BrightlineGroup and SummitLogistics. It defines service scope, responsibilities, milestones, fees, renewal process, confidentiality, data handling, liability limits, termination, and dispute handling.",contract
RetailForecasting_review_pack_v5.csv,csv,1,923,1,google_drive,"Billing document received for processing. The first page contains recipient information, reference number, service period, payment instructions, and bank details. Some line items were extracted from a scanned table.",invoice
EastBridge_FY2025_Q1_financials.html,html,3,3549,14,excel_upload,"Quarterly financial review. Tables show revenue by business unit, cost of sales, payroll expense, inventory movement, bank balance, outstanding receivables, and management adjustm ... [extraction truncated]",financial_statement
CloudNine_Finance_records_2023_05.pdf,pdf,213,4992,4,email_attachment,"Study draft. Sections include introduction, problem setting, baseline models, evaluation protocol, ablation analysis, error cases, discussion, ref ... [extraction truncated]",research_paper
BlueHarbor_Strategy_records_2024_04.pdf,pdf,146,1530,2,ats_upload,"Recruiting attachment from HR workflow. Contains employment history, academic background, project descriptions, achievements, tools used, expected role, and availability information.",resume
IT_attachment_2021_574881.png,png,1143,252,1,erp_export,"Billing document received for processing. The first page contains recipient information, reference number, service period, payment instructions, and bank details. Some line items were extracted from a scanned table.",invoice
client_SummitLogistics_802721_final.pdf,pdf,680,6013,6,sharepoint,"Operating procedure maintained by Legal. The document describes required controls, roles, escalation path, documentation standards, training expectations, and consequences for non-compliance.",policy_document
Forecasting_procedure_2022_review.pdf,pdf,2293,6019,13,sharepoint,"Operating procedure maintained by Procurement. The document describes required controls, roles, escalation path, documentation standards, training expectations, and consequences for non-compliance.",policy_document
OrchidHealth_payment_request_202510.txt,txt,1,1041,2,sharepoint,"Accounts payable entry. Vendor Zoom. PO number 279701. The table lists item description, quantity, unit cost, currency, tax code, approver, due date, and payment remarks.",invoice
AsterFoods_business_update_Q1_2023.xlsx,xlsx,5819,21702,19,google_drive,"MarketExpansion update for EastBridge. The file summarizes current progress, KPI movement, risks, blockers, action items, owners, and next review date. Tables compare this period with the previous baseline.",report
Admin_attachment_2026_960716.pdf,pdf,7296,45640,65,email_attachment,"Accounting workbook extracted from ERP. Sheets include trial balance, profit and loss, balance sheet, cash flow, tax adjustments, depreciation, accruals, and reconciliation comments.",financial_statement
DataNest_trial_balance_2024_12.xlsx,xlsx,6259,53382,62,google_drive,"Quarterly financial review. Tables show revenue by business unit, cost of sales, payroll expense, inventory movement, bank  ... [extraction truncated]",financial_statement
Finance_ProcurementFlow_202412.txt,txt,28,30135,35,sharepoint,Please review the attached document and confirm whether the extracted information matches the original source. Several fields may be incomplete because the file was converted from a scanned copy.,policy_document
AsterFoods_HR_records_2021_07.pdf,pdf,89,2151,2,ocr_scanner,"Applicant document. experlence includes data cleaning, dashboard preparation, API integration, documentation, stakeholder communication, and team collaboration. Skills include Python, SQL, Excel, Git, and reporting tools.",resume
MekongRetail_CustomerSuccess_records_2025_07.pdf,pdf,278,567,1,ocr_scanner,"VuThanhLam. Candidate profile for ProductAnalyst. Contact information, summary, work history, education, technical skills, projects, certifications, and referenc ... [extraction truncated]",resume
Admin_VendorMigration_202410.xlsx,xlsx,3986,23920,32,powerbi_export,"Business review pack. Contains charts, operational notes, customer segment analysis, revenue movement, issue summary, recommendations, and follow-up actions for leadership review.",report
upload_202310_198609.pdf,pdf,310,1169,2,email_attachment,Please review the attached document and confirm whether the extracted information matches the original source. Several fields may be incomplete because the file was converted from a scanned copy.,invoice
BlueHarbor_Admin_records_2026_01.docx,docx,296,1375,2,sharepoint,"PhanDucMinh. Candidate profile for SalesOperations. Contact information, summary, work history, education, technical skills, projects, certifications, and references are listed.",resume
client_AsterFoods_645596_signed.docx,docx,475,11130,6,api_ingestion,"cornpany control standard. Applies to employees, contractors, systems, records, and third-party services. Includes review frequency, owner, effective date, and change history.",policy_document
Ops_RiskMonitoring_202409.txt,txt,49,30884,31,erp_export,"Accounting workbook extracted from ERP. Sheets include trial balance, profit and loss, balance sheet, cash flow, tax adjustments, depreciation, accruals, and reconciliation comments.",financial_statement
AP_NovaTech_Dell_2021_02.jpg,jpg,252,291,1,sharepoint,[OCR low confidence] Plese revew th ttachd dcment nd cnfirm whether the extracted information matches the original source. Several fields may be incomplete because the file was converted from a scanned copy.,invoice
PO283738_Momo_supporting-doc.txt,txt,1,587,3,email_attachment,"Billing document received for processing. The first page contains recipient information, reference number, service period, payment instructions, and bank details. Some line items were extracted from a scanned table.",invoice
DataPlatform_review_pack_v2.pdf,pdf,168,891,1,hr_portal,"Applicant document. Experience includes data cleaning, dashboard preparation, API integration, documentation, stakeholder communication, and team collaboration. Skills include Python, SQL, Excel, Git, and reporting tools.",resume
EastBridge_business_update_Q2_2021.pptx,pptx,13165,6260,14,email_attachment,[OCR low confidence] Pls reviw the ttchd dcment and cnfrm whether the extracted information matches the original source. Several fields may be incomplete because the file was converted from a scanned copy.,report
PacificDigital_trial_balance_2023_03.txt,txt,6,9631,23,ocr_scanner,"Accounting workbook extracted from ERP. Sheets include trial balance, profit and loss, balance sheet, cash flow, tax adjustments, depreciation, accruals, and reconciliation comments.",financial_statement
